"","disasterNumber","declarationDate","incidentType","pwNumber","applicationTitle","applicantId","damageCategoryCode","dcc","damageCategory","projectSize","county","countyCode","state","stateCode","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate","hash","lastRefresh","id"
"1042",1292,"1999-09-16T04:00:00.000Z","Hurricane",1108,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,24878.4,22390.56,23002.57,"1999-12-01T03:40:51.000Z","8e5c608b0a44795cac994ffdbf147441","2020-06-15T11:19:34.612Z","5ee75946556129600dd56d93"
"1043",1292,"1999-09-16T04:00:00.000Z","Hurricane",1109,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,40509.24,36458.32,37454.84,"1999-12-04T01:56:29.000Z","bc300b1f22e31a0b78e1827e607acb20","2020-06-15T11:19:34.614Z","5ee75946556129600dd56d94"
"1044",1292,"1999-09-16T04:00:00.000Z","Hurricane",1110,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,13352.66,12017.4,12345.89,"1999-12-04T01:56:29.000Z","73361a652df15597f05b4e9ea8c8cbab","2020-06-15T11:19:34.615Z","5ee75946556129600dd56d95"
"1045",1292,"1999-09-16T04:00:00.000Z","Hurricane",1111,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,14375,12937.5,13291.12,"1999-12-04T01:56:29.000Z","b3cab165af79ef0c861a56790aaee677","2020-06-15T11:19:34.616Z","5ee75946556129600dd56d96"
"1046",1292,"1999-09-16T04:00:00.000Z","Hurricane",1112,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,15595.11,14035.6,14419.24,"1999-12-04T01:56:29.000Z","90ee0259d01ffc61314a4954f5372178","2020-06-15T11:19:34.617Z","5ee75946556129600dd56d97"
"1047",1292,"1999-09-16T04:00:00.000Z","Hurricane",1113,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,20546.31,18491.68,18997.11,"1999-12-04T01:56:29.000Z","bc3d559f94cf92842ba400760e8f79aa","2020-06-15T11:19:34.653Z","5ee75946556129600dd56d98"
"1048",1292,"1999-09-16T04:00:00.000Z","Hurricane",1114,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,16998.5,15298.66,15716.82,"1999-12-04T01:56:29.000Z","ce111d35aef6419130656bba99b910e5","2020-06-15T11:19:34.655Z","5ee75946556129600dd56d99"
"1049",1292,"1999-09-16T04:00:00.000Z","Hurricane",1115,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,16336.1,14702.5,15104.38,"1999-12-04T01:56:29.000Z","760558414b51b5d102ecc277078b0ad5","2020-06-15T11:19:34.664Z","5ee75946556129600dd56d9a"
"1050",1292,"1999-09-16T04:00:00.000Z","Hurricane",1116,"PUBLIC UTILITIES","191-UQGSI-00","F - Public Utilities","F","Public Utilities","Small","Wayne",191,"North Carolina","NC",37,16736.63,15062.96,15474.68,"1999-12-04T01:56:29.000Z","ff86764cd40c1f1dec31e329310b2c5a","2020-06-15T11:19:34.675Z","5ee75946556129600dd56d9b"
"1051",1292,"1999-09-16T04:00:00.000Z","Hurricane",1117,"ROADS AND BRIDGES","129-10500-00","C - Roads and Bridges","C","Roads and Bridges","Small","New Hanover",129,"North Carolina","NC",37,7404.25,6663.83,6845.97,"1999-12-04T01:56:29.000Z","8e0593688e95698dcd6201359ef70951","2020-06-15T11:19:34.676Z","5ee75946556129600dd56d9c"
